Products,Revenue,Revenue_%,Cumulative_%,ABC_Class
Product 231,5480.0,0.00489421330664128,99.97842178863499,C
Product 232,5233.2,0.0046737950869188225,99.9830955837219,C
Product 233,3290.0,0.0029383141932207684,99.98603389791512,C
Product 234,2849.6,0.0025449909194534656,99.98857888883457,C
Product 235,2714.67,0.0024244843133466943,99.99100337314792,C
Product 236,2096.1,0.0018720365897902896,99.9928754097377,C
Product 237,1776.25,0.0015863770777229148,99.99446178681544,C
Product 238,1712.5,0.0015294416583254,99.99599122847376,C
Product 239,1613.1,0.0014406670592961768,99.99743189553305,C
Product 240,1222.0800000000002,0.0010914452915657257,99.99852334082462,C
Product 241,986.4,0.0008809583951954305,99.99940429921982,C
Product 242,134.88,0.0001204619508758715,99.99952476117069,C
Product 243,131.51999999999998,0.0001174611193593907,99.99964222229005,C
Product 244,120.56,0.00010767269274610817,99.9997498949828,C
Product 245,109.60000000000001,9.788426613282562e-05,99.99984777924894,C
Product 246,73.98,6.607187963965728e-05,99.99991385112858,C
Product 247,52.62,4.699516499917229e-05,99.99996084629358,C
Product 248,43.84,3.9153706453130244e-05,100.00000000000003,C
